model,topic_number,top_words
LDA,0,"know, make, day, hour, community, classic, team, first, experience, say, toxic, try, feel, match, world"
LDA,1,"fun, fixtf, kill, people, map, server, gun, shoot, dead, trash, make, zombie, die, weapon, well"
LDA,2,"miss, hacker, grind, bug, hard, long, average, price, easy, decent, gameplay, story, paint, money, potato"
LDA,3,"bot, buy, ever, fix, suck, make, review, recommend, problem, need, gmod, money, zombie, ruin, say"
LDA,4,"story, well, short, make, feel, original, level, gameplay, first, force, cool, puzzle, blue, new, fun"
LDA,5,"server, bot, fix, update, community, make, please, year, ban, fixtf, dead, leave, new, see, team"
LDA,6,"old, fire, fix, cheater, back, work, hole, want, use, fire hole, full, crash, pretty, try, run"
LDA,7,"fun, well, free, friend, year, many, mod, cheat, lot, people, recommend, buy, make, version, new"
